날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 1월 28일,"13,770.60","13,436.70","13,771.90","13,236.60",1.06B,3.13%
2022년 1월 27일,"13,352.80","13,711.00","13,765.90","13,322.70",1.07B,-1.40%
2022년 1월 26일,"13,542.10","13,871.80","14,002.70","13,392.20",1.18B,0.02%
2022년 1월 25일,"13,539.30","13,610.90","13,781.60","13,414.10",1.04B,-2.28%
2022년 1월 24일,"13,855.10","13,481.50","13,876.60","13,094.70",1.55B,0.63%
2022년 1월 21일,"13,768.90","14,046.20","14,171.70","13,764.20",1.32B,-2.72%
2022년 1월 20일,"14,154.00","14,462.90","14,642.00","14,140.80",1.02B,-1.30%
2022년 1월 19일,"14,340.30","14,582.20","14,658.90","14,331.70",935.06M,-1.15%
2022년 1월 18일,"14,506.90","14,681.80","14,740.50","14,482.90",1.06B,-2.60%
2022년 1월 14일,"14,893.80","14,708.00","14,897.70","14,689.40",872.56M,0.59%
2022년 1월 13일,"14,806.80","15,245.00","15,259.70","14,782.20",852.15M,-2.51%
2022년 1월 12일,"15,188.40","15,263.10","15,319.00","15,117.30",840.02M,0.23%
2022년 1월 11일,"15,153.40","14,919.30","15,158.70","14,837.60",863.02M,1.41%
2022년 1월 10일,"14,942.80","14,751.80","14,953.90","14,530.20",1.09B,0.05%
2022년 1월 7일,"14,935.90","15,095.70","15,171.00","14,877.60",852.53M,-0.96%
2022년 1월 6일,"15,080.90","15,024.20","15,198.40","14,914.90",951.12M,-0.13%
2022년 1월 5일,"15,100.20","15,547.20","15,586.30","15,095.20",1.01B,-3.34%
2022년 1월 4일,"15,622.70","15,852.10","15,852.10","15,512.40",970.70M,-1.33%
2022년 1월 3일,"15,832.80","15,732.50","15,832.80","15,644.10",871.65M,1.20%
2021년 12월 31일,"15,645.00","15,722.90","15,777.40","15,643.90",729.41M,-0.61%
2021년 12월 30일,"15,741.60","15,759.00","15,868.10","15,729.20",768.18M,-0.16%
2021년 12월 29일,"15,766.20","15,794.90","15,821.80","15,679.90",699.59M,-0.10%
2021년 12월 28일,"15,781.70","15,895.20","15,901.50","15,757.10",691.47M,-0.56%
2021년 12월 27일,"15,871.30","15,696.80","15,871.40","15,696.80",741.10M,1.39%
2021년 12월 23일,"15,653.40","15,544.80","15,698.00","15,528.90",746.13M,0.85%
2021년 12월 22일,"15,521.90","15,319.20","15,526.00","15,303.10",783.47M,1.18%
2021년 12월 21일,"15,341.10","15,140.40","15,349.10","15,015.00",976.83M,2.40%
2021년 12월 20일,"14,980.90","14,933.00","15,007.30","14,860.00",1.02B,-1.24%
2021년 12월 17일,"15,169.70","15,036.80","15,288.80","14,960.40",3.01B,-0.07%
2021년 12월 16일,"15,180.40","15,629.10","15,633.20","15,119.50",1.10B,-2.47%
2021년 12월 15일,"15,565.60","15,230.70","15,575.80","15,055.20",1.17B,2.15%
2021년 12월 14일,"15,237.60","15,216.00","15,317.60","15,097.40",1.03B,-1.14%
2021년 12월 13일,"15,413.30","15,621.30","15,637.10","15,408.20",996.25M,-1.39%
2021년 12월 10일,"15,630.60","15,629.60","15,677.60","15,477.90",875.08M,0.73%
2021년 12월 9일,"15,517.40","15,720.50","15,796.10","15,511.10",869.50M,-1.71%
2021년 12월 8일,"15,787.00","15,690.70","15,792.60","15,618.90",921.93M,0.64%
2021년 12월 7일,"15,686.90","15,510.90","15,720.10","15,507.70",1.06B,3.03%
2021년 12월 6일,"15,225.20","15,117.60","15,282.00","14,931.60",1.07B,0.93%
2021년 12월 3일,"15,085.50","15,428.70","15,470.40","14,931.10",1.20B,-1.92%
2021년 12월 2일,"15,381.30","15,181.80","15,444.50","15,150.10",1.10B,0.83%
2021년 12월 1일,"15,254.10","15,752.30","15,816.80","15,243.90",1.22B,-1.83%
2021년 11월 30일,"15,537.70","15,716.50","15,828.20","15,451.40",1.78B,-1.55%
2021년 11월 29일,"15,782.80","15,719.40","15,833.10","15,644.60",1.01B,1.88%
2021년 11월 26일,"15,491.70","15,664.40","15,731.50","15,456.10",781.49M,-2.23%
2021년 11월 24일,"15,845.20","15,677.90","15,848.60","15,591.40",842.33M,0.44%
2021년 11월 23일,"15,775.10","15,809.50","15,895.90","15,601.50",1.07B,-0.50%
2021년 11월 22일,"15,854.80","16,120.90","16,212.20","15,851.00",1.13B,-1.26%
2021년 11월 19일,"16,057.40","16,042.20","16,121.10","16,017.20",1.02B,0.40%
2021년 11월 18일,"15,993.70","15,973.40","16,010.90","15,848.80",1.08B,0.45%
2021년 11월 17일,"15,921.60","15,973.60","15,998.60","15,909.40",966.81M,-0.33%
2021년 11월 16일,"15,973.90","15,840.30","15,989.60","15,825.00",1.01B,0.76%
2021년 11월 15일,"15,853.80","15,894.80","15,918.50","15,778.30",952.14M,-0.04%
2021년 11월 12일,"15,861.00","15,752.60","15,874.60","15,705.40",988.93M,1.00%
2021년 11월 11일,"15,704.30","15,752.10","15,768.00","15,695.80",867.11M,0.52%
2021년 11월 10일,"15,622.70","15,753.80","15,867.20","15,543.70",989.63M,-1.66%
2021년 11월 9일,"15,886.50","16,024.10","16,035.20","15,836.70",1.03B,-0.60%
2021년 11월 8일,"15,982.40","15,995.70","16,038.20","15,961.80",1.06B,0.07%
2021년 11월 5일,"15,971.60","16,003.60","16,053.40","15,900.80",1.06B,0.20%
2021년 11월 4일,"15,940.30","15,849.70","15,966.10","15,827.70",1.02B,0.81%
2021년 11월 3일,"15,811.60","15,658.50","15,821.60","15,616.40",1.00B,1.04%
2021년 11월 2일,"15,649.60","15,584.00","15,656.60","15,569.30",997.88M,0.34%
2021년 11월 1일,"15,595.90","15,541.30","15,598.90","15,470.80",1.00B,0.63%
2021년 10월 29일,"15,498.40","15,323.30","15,504.10","15,323.30",1.06B,0.33%
2021년 10월 28일,"15,448.10","15,304.70","15,452.30","15,290.30",1.06B,1.39%
2021년 10월 27일,"15,235.80","15,276.00","15,364.50","15,235.80",1.09B,0.00%
2021년 10월 26일,"15,235.70","15,317.50","15,384.00","15,198.20",1.22B,0.06%
2021년 10월 25일,"15,226.70","15,142.90","15,259.60","15,070.80",1.09B,0.90%
2021년 10월 22일,"15,090.20","15,158.10","15,193.00","15,021.00",1.10B,-0.82%
2021년 10월 21일,"15,215.70","15,104.80","15,222.30","15,094.10",891.24M,0.62%
2021년 10월 20일,"15,121.70","15,160.00","15,178.40","15,071.20",743.43M,-0.05%
2021년 10월 19일,"15,129.10","15,073.10","15,137.90","15,049.70",788.58M,0.71%
2021년 10월 18일,"15,021.80","14,839.70","15,026.70","14,833.30",798.37M,0.84%
2021년 10월 15일,"14,897.30","14,891.20","14,905.00","14,848.00",924.17M,0.50%
2021년 10월 14일,"14,823.40","14,717.50","14,827.60","14,699.50",815.46M,1.73%
2021년 10월 13일,"14,571.60","14,537.20","14,589.30","14,471.90",760.21M,0.73%
2021년 10월 12일,"14,465.90","14,539.10","14,552.70","14,441.60",768.40M,-0.14%
2021년 10월 11일,"14,486.20","14,540.10","14,666.00","14,482.60",664.49M,-0.64%
2021년 10월 8일,"14,579.50","14,694.70","14,699.90","14,569.70",670.94M,-0.51%
2021년 10월 7일,"14,654.00","14,631.80","14,755.70","14,615.10",798.16M,1.05%
2021년 10월 6일,"14,501.90","14,289.40","14,509.50","14,259.10",817.53M,0.47%
2021년 10월 5일,"14,433.80","14,312.90","14,508.60","14,299.80",805.23M,1.25%
2021년 10월 4일,"14,255.50","14,493.10","14,499.70","14,181.70",920.43M,-2.14%
2021년 10월 1일,"14,566.70","14,494.90","14,606.80","14,324.00",913.08M,0.82%
2021년 9월 30일,"14,448.60","14,582.60","14,632.40","14,444.30",1.14B,-0.44%
2021년 9월 29일,"14,512.40","14,614.90","14,676.60","14,493.70",980.97M,-0.24%
2021년 9월 28일,"14,546.70","14,787.20","14,817.70","14,539.90",996.26M,-2.83%
2021년 9월 27일,"14,970.00","14,954.20","15,003.20","14,865.00",894.61M,-0.52%
2021년 9월 24일,"15,047.70","14,961.60","15,067.60","14,946.60",773.44M,-0.03%
2021년 9월 23일,"15,052.20","14,960.00","15,085.40","14,932.50",788.23M,1.04%
2021년 9월 22일,"14,896.80","14,800.60","14,950.10","14,767.00",831.12M,1.02%
2021년 9월 21일,"14,746.40","14,803.40","14,847.00","14,696.50",873.64M,0.22%
2021년 9월 20일,"14,713.90","14,758.10","14,841.80","14,530.10",1.10B,-2.19%
2021년 9월 17일,"15,044.00","15,163.40","15,166.60","14,998.70",2.75B,-0.91%
2021년 9월 16일,"15,181.90","15,120.10","15,205.50","15,047.10",833.07M,0.13%
2021년 9월 15일,"15,161.50","15,071.30","15,174.40","14,984.70",987.75M,0.82%
2021년 9월 14일,"15,037.80","15,168.40","15,181.20","15,008.30",884.51M,-0.45%
2021년 9월 13일,"15,105.60","15,211.40","15,215.40","15,030.90",943.77M,-0.07%
2021년 9월 10일,"15,115.50","15,332.90","15,349.50","15,111.30",889.08M,-0.87%
2021년 9월 9일,"15,248.30","15,296.10","15,352.40","15,245.20",793.92M,-0.25%
2021년 9월 8일,"15,286.60","15,360.30","15,360.30","15,206.60",799.13M,-0.57%
2021년 9월 7일,"15,374.30","15,376.00","15,403.40","15,343.30",813.76M,0.07%
2021년 9월 3일,"15,363.50","15,313.40","15,375.60","15,283.70",713.30M,0.21%
2021년 9월 2일,"15,331.20","15,358.50","15,380.10","15,285.30",771.82M,0.14%
2021년 9월 1일,"15,309.40","15,309.00","15,379.50","15,302.10",836.30M,0.33%
2021년 8월 31일,"15,259.20","15,262.90","15,279.00","15,202.70",981.94M,-0.04%
2021년 8월 30일,"15,265.90","15,165.90","15,288.10","15,165.10",807.58M,0.90%
2021년 8월 27일,"15,129.50","14,969.80","15,144.50","14,966.50",857.20M,1.23%
2021년 8월 26일,"14,945.80","15,025.20","15,059.60","14,939.60",698.67M,-0.64%
2021년 8월 25일,"15,041.90","15,039.00","15,059.40","15,011.60",760.11M,0.15%
2021년 8월 24일,"15,019.80","14,978.10","15,034.90","14,965.50",737.23M,0.52%
2021년 8월 23일,"14,942.70","14,777.00","14,963.50","14,777.00",782.67M,1.55%
2021년 8월 20일,"14,714.70","14,571.50","14,722.20","14,571.50",828.73M,1.19%
2021년 8월 19일,"14,541.80","14,423.20","14,610.80","14,423.20",841.84M,0.11%
2021년 8월 18일,"14,525.90","14,636.20","14,697.30","14,516.30",764.92M,-0.89%
2021년 8월 17일,"14,656.20","14,670.60","14,716.90","14,550.90",797.61M,-0.93%
2021년 8월 16일,"14,793.80","14,771.50","14,794.70","14,610.00",774.04M,-0.20%
2021년 8월 13일,"14,822.90","14,825.10","14,850.60","14,797.20",774.68M,0.04%
2021년 8월 12일,"14,816.30","14,751.40","14,824.30","14,698.90",783.88M,0.35%
2021년 8월 11일,"14,765.10","14,834.40","14,842.50","14,692.40",787.41M,-0.16%
2021년 8월 10일,"14,788.10","14,887.70","14,894.60","14,754.50",781.07M,-0.49%
2021년 8월 9일,"14,860.20","14,855.80","14,883.80","14,802.70",801.12M,0.16%
2021년 8월 6일,"14,835.80","14,864.20","14,890.20","14,788.60",817.60M,-0.40%
2021년 8월 5일,"14,895.10","14,794.10","14,896.50","14,776.00",842.72M,0.78%
2021년 8월 4일,"14,780.50","14,747.20","14,812.40","14,734.10",875.56M,0.13%
2021년 8월 3일,"14,761.30","14,714.00","14,762.60","14,584.10",831.95M,0.55%
2021년 8월 2일,"14,681.10","14,758.60","14,770.40","14,665.70",752.76M,0.06%
2021년 7월 30일,"14,672.70","14,615.90","14,728.80","14,615.90",788.21M,-0.71%
2021년 7월 29일,"14,778.30","14,771.20","14,833.70","14,761.40",760.01M,0.11%
2021년 7월 28일,"14,762.60","14,715.70","14,798.90","14,645.60",839.14M,0.70%
2021년 7월 27일,"14,660.60","14,807.90","14,811.10","14,503.80",885.24M,-1.21%
2021년 7월 26일,"14,840.70","14,821.00","14,863.60","14,790.50",850.81M,0.03%
2021년 7월 23일,"14,837.00","14,753.10","14,846.10","14,698.80",758.41M,1.04%
2021년 7월 22일,"14,684.60","14,652.70","14,694.20","14,617.90",712.06M,0.36%
2021년 7월 21일,"14,632.00","14,508.70","14,633.10","14,498.70",801.83M,0.92%
2021년 7월 20일,"14,498.90","14,330.50","14,555.70","14,271.20",1.03B,1.57%
2021년 7월 19일,"14,275.00","14,236.00","14,313.60","14,178.70",916.44M,-1.06%
2021년 7월 16일,"14,427.20","14,597.50","14,623.00","14,413.30",811.42M,-0.80%
2021년 7월 15일,"14,543.10","14,635.80","14,650.40","14,451.80",832.92M,-0.70%
2021년 7월 14일,"14,645.00","14,780.90","14,790.50","14,632.90",862.70M,-0.22%
2021년 7월 13일,"14,677.70","14,715.10","14,803.70","14,660.20",805.39M,-0.38%
2021년 7월 12일,"14,733.20","14,743.90","14,761.10","14,672.60",753.86M,0.21%
2021년 7월 9일,"14,701.90","14,578.40","14,710.20","14,552.30",756.93M,0.98%
2021년 7월 8일,"14,559.80","14,409.20","14,610.10","14,371.60",920.12M,-0.72%
2021년 7월 7일,"14,665.10","14,753.40","14,755.30","14,580.80",889.86M,0.01%
2021년 7월 6일,"14,663.60","14,661.50","14,687.00","14,529.80",909.25M,0.17%
2021년 7월 2일,"14,639.30","14,583.00","14,649.10","14,555.30",724.36M,0.81%
2021년 7월 1일,"14,522.40","14,493.70","14,533.50","14,439.40",843.43M,0.13%
2021년 6월 30일,"14,504.00","14,509.90","14,526.80","14,478.10",1.08B,-0.17%
2021년 6월 29일,"14,528.30","14,509.20","14,536.00","14,471.40",908.40M,0.19%
2021년 6월 28일,"14,500.50","14,417.80","14,505.20","14,417.20",898.05M,0.98%
2021년 6월 25일,"14,360.40","14,400.80","14,409.10","14,337.70",3.12B,-0.06%
2021년 6월 24일,"14,369.70","14,357.30","14,414.50","14,333.70",807.03M,0.69%
2021년 6월 23일,"14,271.70","14,263.40","14,317.70","14,246.30",852.78M,0.13%
2021년 6월 22일,"14,253.30","14,138.30","14,269.80","14,121.00",891.23M,0.79%
2021년 6월 21일,"14,141.50","14,047.40","14,150.80","13,960.00",969.70M,0.79%
2021년 6월 18일,"14,030.40","14,096.90","14,129.20","14,009.00",2.14B,-0.92%
2021년 6월 17일,"14,161.30","13,999.10","14,196.20","13,998.90",990.64M,0.87%
2021년 6월 16일,"14,039.70","14,085.60","14,129.70","13,903.70",981.27M,-0.24%
2021년 6월 15일,"14,072.90","14,166.60","14,171.00","14,052.20",880.03M,-0.71%
2021년 6월 14일,"14,174.10","14,083.50","14,175.50","14,056.70",895.43M,0.74%
2021년 6월 11일,"14,069.40","14,030.90","14,069.40","14,006.60",824.12M,0.35%
2021년 6월 10일,"14,020.30","13,933.90","14,031.20","13,904.40",929.35M,0.78%
2021년 6월 9일,"13,911.80","13,980.20","14,003.50","13,906.50",1.09B,-0.09%
2021년 6월 8일,"13,924.90","13,946.30","13,981.70","13,832.00",1.17B,0.31%
2021년 6월 7일,"13,881.70","13,802.80","13,889.10","13,784.90",916.97M,0.49%
2021년 6월 4일,"13,814.50","13,697.20","13,826.80","13,692.00",806.24M,1.47%
2021년 6월 3일,"13,614.50","13,655.70","13,684.10","13,548.90",1.02B,-1.03%
2021년 6월 2일,"13,756.30","13,743.20","13,775.90","13,689.70",996.75M,0.14%
2021년 6월 1일,"13,736.50","13,829.10","13,836.20","13,678.80",884.81M,-0.09%
2021년 5월 28일,"13,748.70","13,792.00","13,820.90","13,747.60",911.24M,0.09%
2021년 5월 27일,"13,736.30","13,742.60","13,776.50","13,701.60",1.41B,-0.01%
2021년 5월 26일,"13,738.00","13,693.90","13,750.20","13,679.60",819.71M,0.59%
2021년 5월 25일,"13,657.20","13,721.50","13,751.10","13,631.80",823.66M,-0.03%
2021년 5월 24일,"13,661.20","13,557.20","13,708.80","13,551.00",730.82M,1.41%
2021년 5월 21일,"13,471.00","13,616.20","13,616.60","13,463.30",786.55M,-0.48%
2021년 5월 20일,"13,535.70","13,356.60","13,563.50","13,355.70",810.41M,1.77%
2021년 5월 19일,"13,299.70","13,078.20","13,304.60","13,072.20",879.28M,-0.03%
2021년 5월 18일,"13,303.60","13,416.90","13,485.30","13,299.90",852.73M,-0.56%
2021년 5월 17일,"13,379.00","13,368.80","13,399.20","13,265.40",799.86M,-0.38%
2021년 5월 14일,"13,430.00","13,255.60","13,460.90","13,243.00",854.90M,2.32%
2021년 5월 13일,"13,125.00","13,150.90","13,247.90","13,007.20",986.84M,0.72%
2021년 5월 12일,"13,031.70","13,215.50","13,288.60","13,002.50",985.26M,-2.67%
2021년 5월 11일,"13,389.40","13,115.90","13,423.30","13,107.70",983.05M,-0.09%
2021년 5월 10일,"13,401.90","13,687.60","13,687.90","13,401.70",1.02B,-2.55%
2021년 5월 7일,"13,752.20","13,723.10","13,828.60","13,690.70",873.19M,0.88%
2021년 5월 6일,"13,632.80","13,557.80","13,635.70","13,439.40",1.04B,0.37%
2021년 5월 5일,"13,582.40","13,731.10","13,753.00","13,553.90",909.08M,-0.37%
2021년 5월 4일,"13,633.50","13,774.50","13,795.60","13,485.60",1.09B,-1.88%
2021년 5월 3일,"13,895.10","14,031.80","14,042.10","13,881.50",919.69M,-0.48%
2021년 4월 30일,"13,962.70","13,970.70","14,084.80","13,941.60",1.02B,-0.85%
2021년 4월 29일,"14,082.50","14,204.50","14,211.60","13,952.80",994.15M,0.22%
2021년 4월 28일,"14,051.00","14,082.80","14,133.70","14,034.70",861.23M,-0.28%
2021년 4월 27일,"14,090.20","14,170.90","14,171.20","14,064.30",871.20M,-0.34%
2021년 4월 26일,"14,138.80","14,052.40","14,154.00","14,019.50",867.75M,0.87%
2021년 4월 23일,"14,016.80","13,861.40","14,062.70","13,856.80",843.30M,1.44%
2021년 4월 22일,"13,818.40","13,952.60","14,015.90","13,771.00",871.28M,-0.94%
2021년 4월 21일,"13,950.20","13,745.80","13,951.30","13,706.90",819.76M,1.19%
2021년 4월 20일,"13,786.30","13,894.50","13,927.70","13,698.70",875.27M,-0.92%
2021년 4월 19일,"13,914.80","13,984.60","14,041.80","13,842.60",907.06M,-0.98%
2021년 4월 16일,"14,052.30","14,059.10","14,062.50","13,977.00",962.78M,0.10%
2021년 4월 15일,"14,038.80","13,983.20","14,049.10","13,970.40",867.56M,1.31%
2021년 4월 14일,"13,857.80","14,004.10","14,033.60","13,839.00",812.85M,-0.99%
2021년 4월 13일,"13,996.10","13,902.40","14,011.50","13,902.40",839.45M,1.05%
2021년 4월 12일,"13,850.00","13,854.40","13,877.00","13,783.90",894.01M,-0.36%
2021년 4월 9일,"13,900.20","13,787.00","13,905.40","13,748.30",785.76M,0.51%
2021년 4월 8일,"13,829.30","13,796.90","13,830.10","13,758.70",870.92M,1.03%
2021년 4월 7일,"13,688.80","13,675.30","13,733.00","13,653.60",819.48M,-0.07%
2021년 4월 6일,"13,698.40","13,681.70","13,776.70","13,674.30",870.63M,-0.05%
2021년 4월 5일,"13,705.60","13,594.90","13,720.60","13,582.80",916.61M,1.67%
2021년 4월 1일,"13,480.10","13,414.30","13,487.10","13,404.20",939.16M,1.76%
2021년 3월 31일,"13,246.90","13,122.60","13,325.50","13,118.40",1.21B,1.54%
2021년 3월 30일,"13,045.40","13,008.80","13,075.80","12,922.60",983.51M,-0.11%
2021년 3월 29일,"13,059.60","13,104.00","13,143.40","12,968.20",1.06B,-0.60%
2021년 3월 26일,"13,138.70","12,996.00","13,149.60","12,878.70",1.14B,1.24%
2021년 3월 25일,"12,977.70","12,844.60","13,021.90","12,786.80",1.17B,0.12%
2021년 3월 24일,"12,961.90","13,289.20","13,292.90","12,961.40",1.19B,-2.01%
2021년 3월 23일,"13,227.70","13,381.40","13,405.10","13,202.40",1.19B,-1.12%
2021년 3월 22일,"13,377.50","13,278.80","13,455.60","13,278.80",1.11B,1.23%
2021년 3월 19일,"13,215.20","13,119.90","13,252.40","13,039.50",2.93B,0.76%
2021년 3월 18일,"13,116.20","13,349.20","13,384.50","13,101.90",1.22B,-3.02%
2021년 3월 17일,"13,525.20","13,336.90","13,595.00","13,272.70",1.18B,0.40%
2021년 3월 16일,"13,471.60","13,523.20","13,620.70","13,397.10",1.10B,0.09%
2021년 3월 15일,"13,459.70","13,323.50","13,460.30","13,272.50",1.13B,1.05%
2021년 3월 12일,"13,319.90","13,222.80","13,324.70","13,158.70",1.09B,-0.59%
2021년 3월 11일,"13,398.70","13,273.30","13,433.60","13,246.30",1.19B,2.52%
2021년 3월 10일,"13,068.80","13,234.70","13,277.10","13,035.40",1.22B,-0.04%
2021년 3월 9일,"13,073.80","12,923.10","13,151.50","12,882.50",1.28B,3.69%
2021년 3월 8일,"12,609.20","12,904.30","13,001.00","12,599.20",1.27B,-2.41%
2021년 3월 5일,"12,920.10","12,860.00","12,941.20","12,397.10",1.56B,1.55%
2021년 3월 4일,"12,723.50","12,954.00","13,068.70","12,554.00",1.58B,-2.11%
2021년 3월 3일,"12,997.80","13,336.30","13,372.50","12,995.10",1.16B,-2.70%
2021년 3월 2일,"13,358.80","13,599.40","13,601.30","13,352.00",1.08B,-1.69%
2021년 3월 1일,"13,588.80","13,406.20","13,596.60","13,362.70",1.10B,3.01%
2021년 2월 26일,"13,192.30","13,232.90","13,368.10","13,024.50",1.44B,0.56%
2021년 2월 25일,"13,119.40","13,512.60","13,602.90","13,066.40",1.33B,-3.52%
2021년 2월 24일,"13,598.00","13,400.30","13,607.40","13,286.60",1.24B,0.99%
2021년 2월 23일,"13,465.20","13,262.60","13,526.10","13,004.00",1.64B,-0.50%
2021년 2월 22일,"13,533.00","13,714.20","13,757.10","13,531.00",1.37B,-2.46%
2021년 2월 19일,"13,874.50","13,929.20","13,985.60","13,842.60",1.31B,0.07%
2021년 2월 18일,"13,865.40","13,814.70","13,906.00","13,714.30",1.24B,-0.72%
2021년 2월 17일,"13,965.50","13,911.60","13,976.40","13,804.30",1.35B,-0.58%
2021년 2월 16일,"14,047.50","14,152.20","14,175.10","13,995.40",1.49B,-0.34%
2021년 2월 12일,"14,095.50","13,979.20","14,102.00","13,937.70",1.32B,0.50%
2021년 2월 11일,"14,025.80","14,045.20","14,058.90","13,916.80",1.98B,0.38%
2021년 2월 10일,"13,972.50","14,093.30","14,109.10","13,845.50",1.83B,-0.25%
2021년 2월 9일,"14,007.70","13,966.80","14,044.90","13,966.60",1.52B,0.14%
2021년 2월 8일,"13,987.60","13,937.10","13,987.70","13,894.10",1.61B,0.95%
2021년 2월 5일,"13,856.30","13,824.90","13,878.20","13,761.70",1.26B,0.57%
2021년 2월 4일,"13,777.70","13,674.10","13,778.40","13,631.60",1.29B,1.23%
2021년 2월 3일,"13,610.50","13,718.30","13,723.80","13,585.30",1.36B,-0.02%
2021년 2월 2일,"13,612.80","13,543.10","13,652.70","13,535.90",1.43B,1.56%
2021년 2월 1일,"13,403.40","13,226.20","13,431.50","13,132.50",1.39B,2.55%
2021년 1월 29일,"13,070.70","13,284.70","13,322.00","12,985.10",1.78B,-2.00%
2021년 1월 28일,"13,337.20","13,323.30","13,507.60","13,316.50",2.16B,0.50%
2021년 1월 27일,"13,270.60","13,486.60","13,538.40","13,192.90",2.19B,-2.61%
2021년 1월 26일,"13,626.10","13,681.70","13,702.70","13,603.20",1.25B,-0.07%
2021년 1월 25일,"13,636.00","13,681.20","13,729.00","13,368.70",1.43B,0.69%
2021년 1월 22일,"13,543.10","13,474.80","13,567.10","13,463.70",1.13B,0.09%
2021년 1월 21일,"13,530.90","13,521.50","13,560.40","13,454.10",1.34B,0.55%
2021년 1월 20일,"13,457.20","13,342.50","13,486.10","13,329.80",1.29B,1.97%
2021년 1월 19일,"13,197.20","13,132.70","13,206.90","13,078.70",1.22B,1.53%
2021년 1월 15일,"12,998.50","13,099.90","13,139.80","12,949.80",1.26B,-0.87%
2021년 1월 14일,"13,112.60","13,174.80","13,220.20","13,098.40",1.21B,-0.12%
2021년 1월 13일,"13,129.00","13,088.00","13,171.10","13,051.10",1.27B,0.43%
2021년 1월 12일,"13,072.40","13,062.10","13,105.00","12,963.90",1.25B,0.28%
2021년 1월 11일,"13,036.40","13,048.80","13,138.30","12,999.50",1.24B,-1.25%
2021년 1월 8일,"13,202.00","13,160.20","13,208.10","13,036.50",1.33B,1.03%
2021년 1월 7일,"13,067.50","12,867.30","13,090.90","12,867.30",1.25B,2.56%
2021년 1월 6일,"12,740.80","12,666.20","12,909.60","12,650.00",1.45B,-0.61%
2021년 1월 5일,"12,819.00","12,665.70","12,828.30","12,665.60",1.21B,0.95%
2021년 1월 4일,"12,698.40","12,958.50","12,958.70","12,543.20",1.27B,-1.47%
2020년 12월 31일,"12,888.30","12,877.10","12,902.10","12,821.20",987.15M,0.14%
2020년 12월 30일,"12,870.00","12,906.50","12,924.90","12,857.80",954.01M,0.15%
2020년 12월 29일,"12,850.20","12,965.40","12,973.30","12,822.00",896.81M,-0.38%
2020년 12월 28일,"12,899.40","12,914.60","12,930.90","12,827.40",978.34M,0.74%
2020년 12월 24일,"12,804.70","12,791.50","12,833.60","12,767.60",584.09M,0.26%
2020년 12월 23일,"12,771.10","12,834.90","12,841.90","12,758.70",1.23B,-0.29%
2020년 12월 22일,"12,807.90","12,785.20","12,840.60","12,695.30",1.11B,0.51%
2020년 12월 21일,"12,742.50","12,596.10","12,751.30","12,525.20",1.11B,-0.10%
2020년 12월 18일,"12,755.60","12,804.90","12,809.60","12,654.60",2.81B,-0.07%
2020년 12월 17일,"12,764.70","12,730.80","12,765.30","12,696.40",1.02B,0.84%
2020년 12월 16일,"12,658.20","12,611.00","12,687.30","12,566.40",985.82M,0.50%
2020년 12월 15일,"12,595.10","12,543.30","12,596.10","12,465.40",915.62M,1.25%
2020년 12월 14일,"12,440.00","12,447.40","12,543.00","12,432.70",983.31M,0.50%
2020년 12월 11일,"12,377.90","12,336.80","12,383.50","12,246.80",876.15M,-0.23%
2020년 12월 10일,"12,405.80","12,247.50","12,431.60","12,214.70",893.26M,0.54%
2020년 12월 9일,"12,339.00","12,591.70","12,607.10","12,290.80",1.07B,-1.94%
2020년 12월 8일,"12,582.80","12,503.20","12,594.50","12,453.20",973.77M,0.50%
2020년 12월 7일,"12,519.90","12,461.00","12,536.20","12,460.60",931.78M,0.45%
2020년 12월 4일,"12,464.20","12,399.30","12,464.20","12,376.40",1.00B,0.70%
2020년 12월 3일,"12,377.20","12,369.30","12,439.00","12,357.00",928.31M,0.23%
2020년 12월 2일,"12,349.40","12,285.80","12,360.10","12,217.30",985.81M,-0.05%
2020년 12월 1일,"12,355.10","12,313.40","12,405.80","12,263.90",1.28B,1.28%
2020년 11월 30일,"12,198.70","12,224.30","12,244.70","12,027.20",1.76B,-0.06%
2020년 11월 27일,"12,205.80","12,159.20","12,236.20","12,154.60",655.99M,0.92%
2020년 11월 25일,"12,094.40","12,053.90","12,114.80","12,021.00",899.55M,0.47%
2020년 11월 24일,"12,037.30","11,939.30","12,049.90","11,863.50",1.27B,1.32%
2020년 11월 23일,"11,880.60","11,916.80","11,949.30","11,796.50",1.05B,0.22%
2020년 11월 20일,"11,855.00","11,892.70","11,935.50","11,852.50",1.12B,-0.42%
2020년 11월 19일,"11,904.70","11,779.00","11,912.60","11,761.00",1.08B,0.87%
2020년 11월 18일,"11,801.60","11,896.10","11,942.50","11,800.00",963.95M,-0.82%
2020년 11월 17일,"11,899.30","11,913.30","11,950.20","11,852.40",849.41M,-0.21%
2020년 11월 16일,"11,924.10","11,847.10","11,937.70","11,814.90",935.40M,0.80%
2020년 11월 13일,"11,829.30","11,794.90","11,849.80","11,715.50",787.30M,1.02%
2020년 11월 12일,"11,709.60","11,802.50","11,847.80","11,666.40",829.44M,-0.65%
2020년 11월 11일,"11,786.40","11,656.70","11,793.60","11,638.90",819.26M,2.01%
2020년 11월 10일,"11,553.90","11,622.40","11,665.90","11,424.60",1.03B,-1.37%
