날짜,종가,오픈,고가,저가,거래량,변동 %
2011년 11월 7일,"2,695.30","2,683.40","2,697.00","2,649.10",440.44M,0.34%
2011년 11월 4일,"2,686.10","2,678.20","2,693.70","2,655.10",461.04M,-0.44%
2011년 11월 3일,"2,698.00","2,666.20","2,699.80","2,628.20",550.99M,2.20%
2011년 11월 2일,"2,640.00","2,637.60","2,648.50","2,613.70",522.79M,1.27%
2011년 11월 1일,"2,607.00","2,607.30","2,638.60","2,597.20",638.79M,-2.89%
2011년 10월 31일,"2,684.40","2,705.90","2,716.70","2,684.10",502.70M,-1.93%
2011년 10월 28일,"2,737.10","2,724.00","2,742.30","2,723.00",480.01M,-0.05%
2011년 10월 27일,"2,738.60","2,720.60","2,753.40","2,694.30",713.32M,3.32%
2011년 10월 26일,"2,650.70","2,660.40","2,666.30","2,598.70",556.08M,0.46%
2011년 10월 25일,"2,638.40","2,685.90","2,685.90","2,633.90",465.59M,-2.26%
2011년 10월 24일,"2,699.40","2,644.80","2,703.10","2,643.90",468.79M,2.35%
2011년 10월 21일,"2,637.50","2,630.30","2,646.90","2,611.10",621.70M,1.49%
2011년 10월 20일,"2,598.60","2,605.40","2,606.40","2,557.20",516.28M,-0.21%
2011년 10월 19일,"2,604.00","2,642.90","2,651.90","2,597.80",505.56M,-2.01%
2011년 10월 18일,"2,657.40","2,614.10","2,667.60","2,586.30",524.34M,1.63%
2011년 10월 17일,"2,614.90","2,653.30","2,658.30","2,606.90",441.27M,-1.98%
2011년 10월 14일,"2,667.90","2,655.20","2,667.90","2,636.00",412.32M,1.82%
2011년 10월 13일,"2,620.20","2,595.10","2,625.20","2,588.70",436.76M,0.60%
2011년 10월 12일,"2,604.70","2,606.60","2,629.50","2,602.30",507.46M,0.84%
2011년 10월 11일,"2,583.00","2,554.70","2,587.30","2,551.90",420.20M,0.66%
2011년 10월 10일,"2,566.10","2,522.70","2,566.10","2,519.80",421.84M,3.50%
2011년 10월 7일,"2,479.40","2,509.60","2,512.10","2,468.60",547.92M,-1.10%
2011년 10월 6일,"2,506.80","2,459.10","2,507.40","2,446.70",579.84M,1.88%
2011년 10월 5일,"2,460.50","2,398.40","2,466.50","2,381.00",651.56M,2.32%
2011년 10월 4일,"2,404.80","2,312.70","2,406.70","2,298.90",845.16M,2.95%
2011년 10월 3일,"2,335.80","2,401.20","2,430.90","2,335.20",710.58M,-3.29%
2011년 9월 30일,"2,415.40","2,444.80","2,469.00","2,415.10",597.57M,-2.63%
2011년 9월 29일,"2,480.80","2,535.50","2,539.00","2,433.60",609.96M,-0.43%
2011년 9월 28일,"2,491.60","2,557.90","2,569.80","2,491.10",523.31M,-2.17%
2011년 9월 27일,"2,546.80","2,560.80","2,590.90","2,532.60",566.85M,1.20%
2011년 9월 26일,"2,516.70","2,497.00","2,518.90","2,446.10",517.94M,1.35%
2011년 9월 23일,"2,483.20","2,438.60","2,490.70","2,438.30",552.81M,1.12%
2011년 9월 22일,"2,455.70","2,466.10","2,494.30","2,420.20",791.23M,-3.25%
2011년 9월 21일,"2,538.20","2,601.10","2,613.30","2,537.50",586.88M,-2.01%
2011년 9월 20일,"2,590.20","2,623.90","2,643.40","2,589.50",507.83M,-0.86%
2011년 9월 19일,"2,612.80","2,584.40","2,627.30","2,564.50",497.76M,-0.36%
2011년 9월 16일,"2,622.30","2,607.10","2,627.30","2,601.00",980.76M,0.58%
2011년 9월 15일,"2,607.10","2,595.40","2,608.90","2,569.80",519.06M,1.34%
2011년 9월 14일,"2,572.60","2,548.40","2,600.80","2,519.80",602.20M,1.60%
2011년 9월 13일,"2,532.10","2,502.60","2,537.40","2,494.10",538.74M,1.49%
2011년 9월 12일,"2,495.10","2,442.90","2,495.40","2,438.40",525.06M,1.10%
2011년 9월 9일,"2,468.00","2,508.10","2,518.40","2,452.90",586.13M,-2.42%
2011년 9월 8일,"2,529.10","2,533.80","2,568.40","2,520.80",521.74M,-0.78%
2011년 9월 7일,"2,548.90","2,511.50","2,548.90","2,507.50",494.02M,3.04%
2011년 9월 6일,"2,473.80","2,417.60","2,477.80","2,414.30",501.36M,-0.26%
2011년 9월 2일,"2,480.30","2,497.30","2,512.80","2,469.40",446.91M,-2.58%
2011년 9월 1일,"2,546.00","2,583.30","2,604.50","2,543.60",474.62M,-1.30%
2011년 8월 31일,"2,579.50","2,589.80","2,611.60","2,557.70",594.61M,0.13%
2011년 8월 30일,"2,576.10","2,547.10","2,589.50","2,534.70",516.48M,0.55%
2011년 8월 29일,"2,562.10","2,511.00","2,562.60","2,510.10",442.39M,3.32%
2011년 8월 26일,"2,479.90","2,408.80","2,486.00","2,385.30",513.23M,2.49%
2011년 8월 25일,"2,419.60","2,471.00","2,482.90","2,415.20",490.11M,-1.95%
2011년 8월 24일,"2,467.70","2,437.50","2,470.80","2,420.50",493.49M,0.88%
2011년 8월 23일,"2,446.10","2,360.90","2,446.10","2,349.10",564.70M,4.29%
2011년 8월 22일,"2,345.40","2,396.90","2,397.30","2,337.30",516.09M,0.15%
2011년 8월 19일,"2,341.80","2,353.30","2,415.20","2,338.70",671.23M,-1.62%
2011년 8월 18일,"2,380.40","2,436.40","2,437.00","2,363.00",725.40M,-5.22%
2011년 8월 17일,"2,511.50","2,527.80","2,549.10","2,488.10",485.71M,-0.47%
2011년 8월 16일,"2,523.40","2,526.50","2,546.70","2,494.60",544.77M,-1.24%
2011년 8월 15일,"2,555.20","2,522.00","2,555.20","2,514.50",494.10M,1.88%
2011년 8월 12일,"2,508.00","2,507.00","2,524.10","2,481.50",584.86M,0.61%
2011년 8월 11일,"2,492.70","2,415.50","2,516.40","2,399.60",871.49M,4.69%
2011년 8월 10일,"2,381.10","2,425.60","2,461.30","2,378.10",957.55M,-4.09%
2011년 8월 9일,"2,482.50","2,402.10","2,483.70","2,331.60",1.06B,5.29%
2011년 8월 8일,"2,357.70","2,447.30","2,489.40","2,357.70",1.12B,-6.90%
2011년 8월 5일,"2,532.40","2,580.30","2,592.00","2,464.90",1.03B,-0.94%
2011년 8월 4일,"2,556.40","2,648.40","2,653.80","2,556.40",864.87M,-5.08%
2011년 8월 3일,"2,693.10","2,674.00","2,695.40","2,621.70",672.33M,0.89%
2011년 8월 2일,"2,669.20","2,728.30","2,745.90","2,668.70",612.75M,-2.75%
2011년 8월 1일,"2,744.60","2,791.40","2,796.20","2,716.30",581.75M,-0.43%
2011년 7월 29일,"2,756.40","2,736.70","2,780.60","2,725.00",621.21M,-0.36%
2011년 7월 28일,"2,766.30","2,765.60","2,800.10","2,757.90",513.72M,0.05%
2011년 7월 27일,"2,764.80","2,823.60","2,823.90","2,761.00",633.90M,-2.65%
2011년 7월 26일,"2,840.00","2,842.70","2,851.70","2,832.30",436.93M,-0.10%
2011년 7월 25일,"2,842.80","2,832.10","2,859.40","2,828.90",407.25M,-0.56%
2011년 7월 22일,"2,858.80","2,834.50","2,862.70","2,830.60",413.15M,0.86%
2011년 7월 21일,"2,834.40","2,818.80","2,847.40","2,807.70",553.31M,0.72%
2011년 7월 20일,"2,814.20","2,839.40","2,839.60","2,808.20",476.06M,-0.43%
2011년 7월 19일,"2,826.50","2,791.00","2,828.60","2,791.00",479.12M,2.22%
2011년 7월 18일,"2,765.10","2,777.60","2,783.80","2,743.80",463.02M,-0.89%
2011년 7월 15일,"2,789.80","2,787.30","2,790.20","2,768.30",529.59M,0.98%
2011년 7월 14일,"2,762.70","2,804.80","2,817.40","2,755.90",546.87M,-1.22%
2011년 7월 13일,"2,796.90","2,800.90","2,825.90","2,789.60",487.15M,0.54%
2011년 7월 12일,"2,781.90","2,798.80","2,807.60","2,780.20",529.41M,-0.74%
2011년 7월 11일,"2,802.60","2,828.10","2,841.10","2,795.50",448.20M,-2.00%
2011년 7월 8일,"2,859.80","2,841.30","2,860.00","2,831.20",428.04M,-0.45%
2011년 7월 7일,"2,872.70","2,856.30","2,878.90","2,853.90",465.80M,1.36%
2011년 7월 6일,"2,834.00","2,821.40","2,838.90","2,812.80",440.07M,0.29%
2011년 7월 5일,"2,825.80","2,817.90","2,828.50","2,810.00",423.89M,0.35%
2011년 7월 1일,"2,816.00","2,775.10","2,818.20","2,769.10",460.60M,1.53%
2011년 6월 30일,"2,773.50","2,749.40","2,776.60","2,749.10",517.12M,1.21%
2011년 6월 29일,"2,740.50","2,736.80","2,746.60","2,722.30",505.93M,0.41%
2011년 6월 28일,"2,729.30","2,694.30","2,729.90","2,692.40",448.66M,1.53%
2011년 6월 27일,"2,688.30","2,653.10","2,697.30","2,647.60",479.28M,1.33%
2011년 6월 24일,"2,652.90","2,681.10","2,682.40","2,647.50",1.40B,-1.26%
