"TDAY","TICKER","Close","High","Open","Low","Volume","ID","Name","COMPANY_NAME","INDUSTRY","IS_MAIN_STOCK","before","after"
"1999-12-31","COST",31.8708629608154,31.9581803935848,31.9581803935848,31.4779345133533,1163000,68390,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-03","COST",31.0850067138672,31.8053755492307,31.8053755492307,30.7139076168617,6057400,68391,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-04","COST",29.3823108673096,31.1286592100917,31.0631711472374,29.3168228044552,5722800,68392,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-05","COST",29.8843841552734,29.9935309199019,29.491455802611,29.2295035675027,7726400,68393,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-06","COST",30.4846897125244,31.1286555890153,30.2554815191972,30.2118228157063,7221400,68394,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-07","COST",32.5038909912109,32.5693790187285,30.3427860831318,30.3209567406259,5164800,68395,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-10","COST",33.1806221008301,33.2024514574754,32.5039120448263,32.0673249119206,4454000,68396,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-11","COST",32.0018424987793,33.2242866870001,32.9186756399449,31.9581837777714,2955000,68397,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-12","COST",31.9581775665283,33.0059866670702,32.5257408293219,31.3906143037348,4687400,68398,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-13","COST",33.1587829589844,33.5735406128492,32.3292676512547,31.7398751957625,5750800,68399,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-14","COST",34.272087097168,35.1016025810485,33.6172064519992,33.5298890326433,4571000,68400,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-18","COST",35.8001365661621,36.1494061911978,34.0537884409835,33.7045188159477,5932000,68401,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-19","COST",36.2367324829102,37.1099067596068,36.280391196745,35.0142884955349,4130500,68402,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-20","COST",34.9269790649414,37.1099152565002,36.5860105705261,34.9269790649414,5551900,68403,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-21","COST",33.879150390625,35.9747679405606,35.9311092416036,33.5298807989691,3520200,68404,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-24","COST",32.831356048584,35.8001488827644,33.6608716934285,32.4820863033863,5005500,68405,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-25","COST",34.708667755127,34.7523264567057,33.2242719014486,31.9581695556641,3730800,68406,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-26","COST",35.2325744628906,36.3240420732652,34.315741670176,34.0101307392711,3782800,68407,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-27","COST",34.1847686767578,35.8874583043358,35.3198950951431,32.4820790491798,3109600,68408,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-28","COST",32.1328239440918,34.7523476351862,33.9664905278579,32.045506487722,2834600,68409,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-01-31","COST",34.1847686767578,34.5776970523527,32.1764680903838,31.4342700475934,3249700,68410,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-02-01","COST",36.2367324829102,36.4113673382495,34.4467252156821,33.5298922251506,4530500,68411,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-02-02","COST",37.6774749755859,37.7211336951405,36.3240546693945,35.6255151565216,4945700,68412,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-02-03","COST",37.8520965576172,38.4196597124604,37.7211204449611,37.1972159943366,4640800,68413,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-02-04","COST",37.0225830078125,38.5506377310123,38.2450267863723,36.7606307695497,3273700,68414,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-02-07","COST",35.8001365661621,36.4986758162336,36.3240410037157,35.6255017536442,2566700,68415,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-02-08","COST",37.0662536621094,37.5464995870601,36.2803966940081,36.1494205326579,2440700,68416,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
"2000-02-09","COST",36.9352722167969,37.0225896452054,36.3240502179374,35.9311217900991,1466800,68417,"COST","Costco Wholesale Corporation","Discount Stores",1,NA,NA
