"TDAY","TICKER","Close","High","Open","Low","Volume","ID","Name","COMPANY_NAME","INDUSTRY","IS_MAIN_STOCK","before","after"
"1999-12-31","AAPL",0.784879922866821,0.78535703883423,0.770566087103304,0.759591910222529,163811200,1,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-03","AAPL",0.854540824890137,0.858834766842514,0.800625138561892,0.776291305915894,535796800,2,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-04","AAPL",0.782494366168976,0.844520760725807,0.82639010097462,0.772474422231894,512377600,3,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-05","AAPL",0.793945014476776,0.844043936040063,0.792036601103844,0.7863114119481,778321600,4,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-06","AAPL",0.725238084793091,0.8168473002261,0.810167880984086,0.725238084793091,767972800,5,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-07","AAPL",0.759591817855835,0.771043109311536,0.736689336870497,0.729055737135408,460734400,6,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-10","AAPL",0.746232211589813,0.780585119818404,0.778676707023929,0.72332972916504,505064000,7,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-11","AAPL",0.708061456680298,0.758637464305825,0.73239527985452,0.690885033037066,441548800,8,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-12","AAPL",0.665597140789032,0.72905569337649,0.725238001885021,0.660348152618332,976068800,9,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-13","AAPL",0.738597869873047,0.753865939255653,0.721301726145481,0.706153368953761,1032684800,10,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-14","AAPL",0.766748368740082,0.780585087144099,0.763408659230305,0.758637652925342,390376000,11,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-18","AAPL",0.79346776008606,0.809213759252122,0.771043207561197,0.766748450346971,459177600,12,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-19","AAPL",0.813507914543152,0.830207284706421,0.806350561107228,0.789174074818675,597643200,13,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-20","AAPL",0.866469264030457,0.927541437444701,0.881737281902496,0.866469264030456,1831132800,14,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-21","AAPL",0.849769771099091,0.87219437411809,0.87219437411809,0.841181123221888,495924800,15,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-24","AAPL",0.811122298240662,0.860743233224226,0.827821614607933,0.802533597885909,440876800,16,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-25","AAPL",0.856926620006561,0.86360695977216,0.801579616200433,0.781540533499898,497145600,17,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-26","AAPL",0.841181218624115,0.87171735702335,0.839749921544192,0.83784155941299,367158400,18,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-27","AAPL",0.839749872684479,0.862652408337222,0.830684108346355,0.816847387994776,340144000,19,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-28","AAPL",0.775814294815063,0.846429406958693,0.825913263876602,0.76818069281432,423348800,20,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-01-31","AAPL",0.792036414146423,0.792990646089172,0.771043209479882,0.721421364750602,701680000,21,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-01","AAPL",0.76531708240509,0.801579271192223,0.793944804312589,0.76340872050037,318035200,22,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-02","AAPL",0.754342913627625,0.779630924313023,0.769134730584382,0.74050614394032,464195200,23,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-03","AAPL",0.788696706295013,0.79585405697796,0.76579417279248,0.765317056850712,475193600,24,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-04","AAPL",0.824481785297394,0.839749801348617,0.793467719914263,0.791082191147142,425320000,25,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-07","AAPL",0.870763003826141,0.872194351669933,0.824481788579186,0.808736605556223,441067200,26,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-08","AAPL",0.876966238021851,0.886508149421861,0.870285901166312,0.849292697210757,408643200,27,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-09","AAPL",0.85978889465332,0.894142672556784,0.871240187929835,0.858357648623638,299364800,28,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-10","AAPL",0.866469264030457,0.869331858121956,0.861698205927233,0.839749901494611,302982400,29,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-11","AAPL",0.830207109451294,0.871240259713965,0.867423433443529,0.826390283180858,212251200,30,"AAPL","Apple Inc.","Consumer Electronics",1,NA,NA
"2000-02-14","AAPL",0.884122788906097,0.884599904924632,0.834500990234984,0.829252866920233,367539200,31,"AAPL","Apple Inc.","Consumer Electronics",1,0.031633648082332,0.0639450309122925
"2000-02-15","AAPL",0.90845662355423,0.91561397539168,0.879828948947928,0.8793518329292,485744000,32,"AAPL","Apple Inc.","Consumer Electronics",1,0.0355979970580171,0.0675695978220991
"2000-02-16","AAPL",0.871239960193634,0.901776904158993,0.898913495513374,0.8559719468782,378246400,33,"AAPL","Apple Inc.","Consumer Electronics",1,0.0459619241775688,0.0711784543104879
"2000-02-17","AAPL",0.876966238021851,0.881737193721856,0.879351715871853,0.863606583571519,289497600,34,"AAPL","Apple Inc.","Consumer Electronics",1,0.0480747653934622,0.0659152567494506
"2000-02-18","AAPL",0.849292755126953,0.88078302187505,0.875057833874194,0.846429294754832,233441600,35,"AAPL","Apple Inc.","Consumer Electronics",1,0.0511311247833901,0.0660452937150677
"2000-02-22","AAPL",0.868854820728302,0.892711540368032,0.840704209562834,0.814461960655663,422296000,36,"AAPL","Apple Inc.","Consumer Electronics",1,0.0484589654859355,0.0638994496704797
"2000-02-23","AAPL",0.887462258338928,0.90845637671958,0.864440932541453,0.847383300542476,473099200,37,"AAPL","Apple Inc.","Consumer Electronics",1,0.04836150423636,0.0586006036454456
"2000-02-24","AAPL",0.879470586776733,0.909410760489397,0.89557398968892,0.853109496312863,376432000,38,"AAPL","Apple Inc.","Consumer Electronics",1,0.0485665204033626,0.0562471442041957
"2000-02-25","AAPL",0.842612504959106,0.89318858553885,0.876489219472258,0.84070414285224,249144000,39,"AAPL","Apple Inc.","Consumer Electronics",1,0.0450694755939843,0.0503425160873308
"2000-02-28","AAPL",0.864560723304749,0.877920377905724,0.840704058903332,0.827344404302356,328328000,40,"AAPL","Apple Inc.","Consumer Electronics",1,0.0358546530766857,0.0459159425899267
"2000-02-29","AAPL",0.875057637691498,0.89509670853659,0.866946056161799,0.859311692438944,368961600,41,"AAPL","Apple Inc.","Consumer Electronics",1,0.0314726665161749,0.0369688957200837
"2000-03-01","AAPL",0.994816780090332,1.00817643517453,0.905116835806347,0.904639719828495,1077003200,42,"AAPL","Apple Inc.","Consumer Electronics",1,0.0288314335374037,0.0241772359008927
"2000-03-02","AAPL",0.931358933448792,0.976686067832899,0.969529532759139,0.921338989322191,311259200,43,"AAPL","Apple Inc.","Consumer Electronics",1,0.0369009811977275,0.0145996183068061
"2000-03-03","AAPL",0.977163374423981,0.978952992877107,0.953306653526365,0.916091192264123,323366400,44,"AAPL","Apple Inc.","Consumer Electronics",1,0.040549103259144,0.00300992398944322
"2000-03-06","AAPL",0.959509968757629,0.985752170624068,0.961895447418571,0.954260977983352,210560000,45,"AAPL","Apple Inc.","Consumer Electronics",1,0.0513157170217043,-0.00570288263633739
"2000-03-07","AAPL",0.93803870677948,0.972869609668622,0.96523514037529,0.924679048035847,273011200,46,"AAPL","Apple Inc.","Consumer Electronics",1,0.0587534637615138,-0.00810198301854544
"2000-03-08","AAPL",0.931358933448792,0.946149934933255,0.938038352594158,0.905116741978617,271230400,47,"AAPL","Apple Inc.","Consumer Electronics",1,0.0614526129837869,-0.0105637292342569
"2000-03-09","AAPL",0.9332674741745,0.954260678682202,0.922770413253301,0.90273133875505,276718400,48,"AAPL","Apple Inc.","Consumer Electronics",1,0.0663020848727991,-0.0171942394144294
"2000-03-10","AAPL",0.959986865520477,0.976686231592402,0.928973611492495,0.923724621917598,248606400,49,"AAPL","Apple Inc.","Consumer Electronics",1,0.069809945986107,-0.0251323682450889
"2000-03-13","AAPL",0.926109910011292,0.96571174933659,0.932313027721403,0.912273142425547,303956800,50,"AAPL","Apple Inc.","Consumer Electronics",1,0.0746007947464505,-0.0296298261384815
"2000-03-14","AAPL",0.872194528579712,0.948535643884916,0.925394547418815,0.87028606440089,428579200,51,"AAPL","Apple Inc.","Consumer Electronics",1,0.072287256270144,-0.0328537920034272
"2000-03-15","AAPL",0.887462258338928,0.917999204131722,0.882691303300129,0.871240012331619,443609600,52,"AAPL","Apple Inc.","Consumer Electronics",1,0.0653706314008539,-0.0457091907549524
"2000-03-16","AAPL",0.928018391132355,0.931358916051189,0.895573897051264,0.874102661413962,378100800,53,"AAPL","Apple Inc.","Consumer Electronics",1,0.0574240572827447,-0.0553596402347791
"2000-03-17","AAPL",0.95426070690155,0.95426070690155,0.9170452526111,0.91322750934747,305043200,54,"AAPL","Apple Inc.","Consumer Electronics",1,0.0511913274453472,-0.0648579179350768
"2000-03-20","AAPL",0.938992857933044,0.963803708844211,0.942810499954562,0.934221799185609,204489600,55,"AAPL","Apple Inc.","Consumer Electronics",1,0.048381800366689,-0.0713216349520351
"2000-03-21","AAPL",1.0301251411438,1.04396181500418,0.935653291342141,0.928496753082971,524328000,56,"AAPL","Apple Inc.","Consumer Electronics",1,0.0456076297850712,-0.0830778785457162
"2000-03-22","AAPL",1.10073947906494,1.10217164200413,1.01366364619886,1.00435932665549,567996800,57,"AAPL","Apple Inc.","Consumer Electronics",1,0.05451663509764,-0.0853334509408356
"2000-03-23","AAPL",1.07879221439362,1.14797595895933,1.0840402856289,1.06877227050549,562564800,58,"AAPL","Apple Inc.","Consumer Electronics",1,0.0699393766135607,-0.0828680666991392
"2000-03-24","AAPL",1.05875217914581,1.09883113370725,1.08737984366304,1.03441835343171,446913600,59,"AAPL","Apple Inc.","Consumer Electronics",1,0.0796965935550265,-0.0789752861927723
"2000-03-27","AAPL",1.06543242931366,1.10503426864537,1.0506415319356,1.0449154281565,279182400,60,"AAPL","Apple Inc.","Consumer Electronics",1,0.0853173261891643,-0.0767121725317382
"2000-03-28","AAPL",1.06209301948547,1.08404045706618,1.04777831659773,1.04682408461274,202966400,61,"AAPL","Apple Inc.","Consumer Electronics",1,0.0854561478459842,-0.0748376620868579
"2000-03-29","AAPL",1.03775870800018,1.06447800666753,1.06400099282108,1.02165531171512,239836800,62,"AAPL","Apple Inc.","Consumer Electronics",1,0.0891151678111484,-0.0760845949999387
"2000-03-30","AAPL",0.959986865520477,1.05111887705346,1.01962779353449,0.957601285478525,414400000,63,"AAPL","Apple Inc.","Consumer Electronics",1,0.0928198856188567,-0.0763687732811168
"2000-03-31","AAPL",1.03680491447449,1.04777817309458,0.97286923978944,0.961895063834732,404633600,64,"AAPL","Apple Inc.","Consumer Electronics",1,0.0844556301204382,-0.0779810949887424
"2000-04-03","AAPL",1.01771914958954,1.06495546073935,1.03441851270937,0.988137248816187,328563200,65,"AAPL","Apple Inc.","Consumer Electronics",1,0.0839638844857041,-0.0772110325146795
"2000-04-04","AAPL",0.971914708614349,1.01533336579976,1.01247077304455,0.891279695534159,660329600,66,"AAPL","Apple Inc.","Consumer Electronics",1,0.0781345650702467,-0.0732486257969706
"2000-04-05","AAPL",0.995294690132141,1.01437953268912,0.965473362301649,0.946627128691515,457665600,67,"AAPL","Apple Inc.","Consumer Electronics",1,0.0693984467038083,-0.0744452239783092
"2000-04-06","AAPL",0.955692708492279,1.02678491435366,0.997203015002069,0.940900892444947,259627200,68,"AAPL","Apple Inc.","Consumer Electronics",1,0.0624935151592569,-0.0714233582287047
"2000-04-07","AAPL",1.00579082965851,1.00674495956713,0.971437872053223,0.958078218663279,242435200,69,"AAPL","Apple Inc.","Consumer Electronics",1,0.0517121750990497,-0.0735139930803271
"2000-04-10","AAPL",0.95426070690155,1.01342543295371,1.00531384970537,0.952352344900137,212262400,70,"AAPL","Apple Inc.","Consumer Electronics",1,0.0421247570396667,-0.0723066787401641
"2000-04-11","AAPL",0.91179633140564,0.953306546114802,0.942810401434231,0.901299269390277,541822400,71,"AAPL","Apple Inc.","Consumer Electronics",1,0.0313362151639414,-0.0758694963757058
"2000-04-12","AAPL",0.834023714065552,0.908456448742544,0.908456448742544,0.800625038587914,941136000,72,"AAPL","Apple Inc.","Consumer Electronics",1,0.0192714444616984,-0.0798421428962764
"2000-04-13","AAPL",0.868854820728302,0.916091143961664,0.851201272207453,0.828298733696872,529827200,73,"AAPL","Apple Inc.","Consumer Electronics",1,0.0110557562431238,-0.0880277106087389
"2000-04-14","AAPL",0.854063749313354,0.900822083709905,0.834500923884918,0.832115394944959,667620800,74,"AAPL","Apple Inc.","Consumer Electronics",1,0.0021845883038954,-0.0933582751006235
"2000-04-17","AAPL",0.945672929286957,0.94615004527099,0.835933093250801,0.832592516916963,409561600,75,"AAPL","Apple Inc.","Consumer Electronics",1,-0.00398940873898161,-0.097725025967937
"2000-04-18","AAPL",0.968575298786163,0.968575298786163,0.942810223300675,0.911319043204497,390924800,76,"AAPL","Apple Inc.","Consumer Electronics",1,-0.00553219954122902,-0.0985337716578842
"2000-04-19","AAPL",0.924678862094879,0.994339736530295,0.9633265841547,0.91418180018722,520150400,77,"AAPL","Apple Inc.","Consumer Electronics",1,-0.00700040322746907,-0.0954534012396832
"2000-04-20","AAPL",0.907502174377441,0.952352190593523,0.944241424067997,0.893665405440718,722120000,78,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0111500058523574,-0.0924208361676485
"2000-04-24","AAPL",0.919908046722412,0.919908046722412,0.877920608069297,0.876012245652678,443620800,79,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0159584080276156,-0.0904534558964146
"2000-04-25","AAPL",0.979548871517181,0.982889397214708,0.932313365217086,0.931836249186387,391641600,80,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0186316006121668,-0.0871803024315734
"2000-04-26","AAPL",0.926109910011292,0.977162937632416,0.966665879126504,0.916090782771794,366912000,81,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0198877431349652,-0.0783253961787432
"2000-04-27","AAPL",0.967620313167572,0.96952959240716,0.894619736962991,0.889967627041293,326603200,82,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0268087070322714,-0.0723027768055096
"2000-04-28","AAPL",0.947104156017303,0.973346451939217,0.970483858019419,0.926110135812831,249580800,83,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0308072012182994,-0.0628964069932876
"2000-05-01","AAPL",0.949012756347656,0.955215876461975,0.953306596881611,0.930405026822192,226195200,84,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0340713827863187,-0.0560361900231165
"2000-05-02","AAPL",0.89986777305603,0.963803449312977,0.940900966912264,0.897005179348842,236432000,85,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0358505227018512,-0.0470514564241861
"2000-05-03","AAPL",0.878397643566132,0.925633150975892,0.90797955164704,0.852155445852482,489798400,86,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0407786459028814,-0.0415386705643747
"2000-05-04","AAPL",0.844997882843018,0.879828772177362,0.878874540331625,0.844043650997281,399515200,87,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0423710605090219,-0.0361991994424468
"2000-05-05","AAPL",0.86360639333725,0.876011813144498,0.845951934733325,0.845236311921175,284076800,88,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0423536404908034,-0.0331058845628931
"2000-05-08","AAPL",0.840704083442688,0.867900458436034,0.855733542418368,0.839749851493644,184900800,89,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0416949891021126,-0.0262305099290843
"2000-05-09","AAPL",0.804918944835663,0.849292663505068,0.84213531290444,0.800625054298246,327140800,90,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0424890721995971,-0.017945059555085
"2000-05-10","AAPL",0.758160710334778,0.801579390113759,0.794422038129967,0.753865952595795,535091200,91,"AAPL","Apple Inc.","Consumer Electronics",1,-0.044207553900097,-0.00695307779064662
"2000-05-11","AAPL",0.784879922866821,0.795854099747596,0.773905796949085,0.755775135372379,499744000,92,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0478449039926594,0.000234983750076755
"2000-05-12","AAPL",0.821619153022766,0.843566639761584,0.809213730533853,0.799789696677853,306913600,93,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0502916320550621,0.00746284678894692
"2000-05-15","AAPL",0.771043121814728,0.824958800304177,0.824958800304177,0.764362836455509,678932800,94,"AAPL","Apple Inc.","Consumer Electronics",1,-0.053631919256732,0.0192504058769771
"2000-05-16","AAPL",0.806827366352081,0.8325924425987,0.797881315042393,0.784402815178081,440451200,95,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0558010713898514,0.0265954424694381
"2000-05-17","AAPL",0.773905992507935,0.79155954257812,0.791082426490149,0.76627152354378,398092800,96,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0558066202964382,0.0390833451126862
"2000-05-18","AAPL",0.769134700298309,0.80110207793605,0.786311127933302,0.768180468474985,373777600,97,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0594285405226545,0.0464475974625861
"2000-05-19","AAPL",0.717604637145996,0.757683604494848,0.757683604494848,0.712832763635327,740667200,98,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0615325167211993,0.0552951586287666
"2000-05-22","AAPL",0.686590552330017,0.715696207688254,0.715696207688254,0.656531531359744,755507200,99,"AAPL","Apple Inc.","Consumer Electronics",1,-0.0682519482356371,0.0612048387320236
