"TDAY","TICKER","Close","High","Open","Low","Volume","ID","Name","COMPANY_NAME","INDUSTRY","IS_MAIN_STOCK","before","after"
"2010-06-29","TSLA",4.77799987792969,5,3.79999995231628,3.50799989700317,93831500,38430,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-06-30","TSLA",4.76599979400635,6.08400011062622,5.15799999237061,4.65999984741211,85935500,38431,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-01","TSLA",4.39200019836426,5.18400001525879,5,4.05399990081787,41094000,38432,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-02","TSLA",3.83999991416931,4.61999988555908,4.59999990463257,3.74200010299683,25699000,38433,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-06","TSLA",3.22199988365173,4,4,3.16599988937378,34334500,38434,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-07","TSLA",3.16000008583069,3.32599997520447,3.27999997138977,2.99600005149841,34608500,38435,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-08","TSLA",3.49200010299683,3.50399994850159,3.2279999256134,3.11400008201599,38557000,38436,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-09","TSLA",3.48000001907349,3.57999992370605,3.51600003242493,3.30999994277954,20253000,38437,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-12","TSLA",3.41000008583069,3.61400008201599,3.58999991416931,3.40000009536743,11012500,38438,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-13","TSLA",3.62800002098083,3.7279999256134,3.4779999256134,3.38000011444092,13400500,38439,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-14","TSLA",3.96799993515015,4.03000020980835,3.58800005912781,3.55200004577637,20976000,38440,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-15","TSLA",3.9779999256134,4.30000019073486,3.98799991607666,3.79999995231628,18699000,38441,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
"2010-07-16","TSLA",4.12799978256226,4.26000022888184,4.1399998664856,4.01000022888184,13106500,38442,"TSLA","Tesla, Inc.","Auto Manufacturers",1,NA,NA
